,sentence
0,hide new secretions from the parental units 
1,contains no wit  only labored gags 
2,that loves its characters and communicates something rather beautiful about human nature 
3,remains utterly satisfied to remain the same throughout 
4,on the worst revengeofthenerds clichés the filmmakers could dredge up 
5,that s far too tragic to merit such superficial treatment 
6,demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small  personal film with an emotional wallop  
7,of saucy 
8,a depressed fifteenyearold s suicidal poetry 
9,are more deeply thought through than in most  rightthinking  films 
10,goes to absurd lengths 
11,for those moviegoers who complain that  they do nt make movies like they used to anymore 
12,the part where nothing s happening  
13,saw how bad this movie was 
14,lend some dignity to a dumb story 
15,the greatest musicians 
16,cold movie 
17,with his usual intelligence and subtlety 
18,redundant concept 
19,swimming is above all about a young woman s face  and by casting an actress whose face projects that woman s doubts and yearnings  it succeeds  
20,equals the original and in some ways even betters it 
21,if anything  see it for karen black  who camps up a storm as a fringe feminist conspiracy theorist named dirty dick  
22,a smile on your face 
23,comes from the brave  uninhibited performances 
24,excruciatingly unfunny and pitifully unromantic 
25,enriched by an imaginatively mixed cast of antic spirits 
26,which half of dragonfly is worse  the part where nothing s happening  or the part where something s happening 
27,in world cinema 
28,very good viewing alternative 
29,the plot is nothing but boilerplate clichés from start to finish  
30,the action is stilted 
31,on all cylinders 
32,will find little of interest in this film  which is often preachy and poorly acted 
33,by far the worst movie of the year 
34,sit through  
35,more than another  best man  clone by weaving a theme throughout this funny film 
36,it s about issues most adults have to face in marriage and i think that s what i liked about it  the real issues tucked between the silly and crude storyline 
37,heroes 
38,oblivious to the existence of this film 
39,sharply 
40,the entire point of a shaggy dog story  of course  is that it goes nowhere  and this is classic nowheresville in every sense  
41,sometimes dry 
42,as they come  already having been recycled more times than i d care to count 
43,covers this territory with wit and originality  suggesting that with his fourth feature 
44,a  40 million version of a game 
45,gorgeous and deceptively minimalist 
46,cross swords with the best of them and 
47,as a fringe feminist conspiracy theorist 
48,proves once again he has nt lost his touch  bringing off a superb performance in an admittedly middling film  
49,disappointments 
50,the horrors 
51,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us  
52,many pointless 
53,a beautifully 
54,contrived  wellworn situations 
55,a doa 
56,poor ben bratt could nt find stardom if mapquest emailed him pointtopoint driving directions  
57,to be as subtle and touching as the son s room 
58,starts with a legend 
59,far less sophisticated and 
60,rich veins of funny stuff in this movie 
61,no apparent joy 
62,shot on ugly digital video 
